config,best_fitness_mean,best_fitness_std,best_fitness_median,n_selected_mean,n_selected_std,exec_time_mean,exec_time_std,gen_completed_mean
maxgen=50,0.646718,0.003239,0.647291,210.800000,10.182473,2.242510,0.126361,50.000000
maxgen=100,0.650313,0.003582,0.649854,208.033333,10.303944,4.400814,0.196223,100.000000
maxgen=200,0.655173,0.003670,0.654666,206.933333,6.942788,8.639964,0.231596,200.000000
conv_t=10_tol=1e-04,0.643042,0.004000,0.643273,214.466667,12.308487,1.430313,0.446512,30.066667
conv_t=10_tol=1e-05,0.643070,0.004003,0.643474,214.233333,12.305545,2.267673,0.700271,30.133333
conv_t=10_tol=1e-06,0.643070,0.004003,0.643474,214.233333,12.305545,2.318475,0.717939,30.133333
conv_t=20_tol=1e-04,0.646901,0.003902,0.646555,213.366667,9.707741,4.093878,1.199179,57.833333
conv_t=20_tol=1e-05,0.647054,0.003912,0.646845,211.433333,9.828471,3.213679,1.076149,58.500000
conv_t=20_tol=1e-06,0.647054,0.003912,0.646845,211.433333,9.828471,2.535260,0.747769,58.500000
conv_t=30_tol=1e-04,0.649147,0.004055,0.648313,211.300000,13.052018,3.697165,1.023112,86.466667
conv_t=30_tol=1e-05,0.649558,0.004043,0.648672,209.833333,10.954713,3.967968,0.873690,87.233333
conv_t=30_tol=1e-06,0.649558,0.004043,0.648672,209.833333,10.954713,3.789334,0.891994,87.233333
