config,acc_mean,acc_std,cv_mean,cv_std,overfitting,time_mean_s,roc_auc_best
solver=lbfgs,0.81333,0.05306,0.82610,0.01441,0.18667,0.24675,0.97059
batch=16,0.80571,0.05638,0.82542,0.01525,0.15712,0.61351,0.98693
batch=32,0.80952,0.05730,0.81644,0.01519,0.14227,0.34685,0.97059
lr=0.1_policy=adaptive,0.79714,0.05587,0.81278,0.01414,0.13403,0.97202,0.96078
lr=0.1_policy=constant,0.79524,0.05574,0.81278,0.01488,0.13426,0.15710,0.96078
batch=64,0.80952,0.05387,0.81070,0.01580,0.13340,0.21031,0.97059
solver=adam,0.81048,0.05544,0.80897,0.01862,0.12430,0.14655,0.97712
lr=0.01_policy=adaptive,0.77619,0.07598,0.79578,0.02471,0.13052,0.87472,0.96405
lr=0.1_policy=invscaling,0.77810,0.06986,0.78141,0.01853,0.07778,0.12221,0.95098
lr=0.01_policy=constant,0.77714,0.07501,0.78071,0.02311,0.11015,0.19089,0.96732
lr=0.001_policy=adaptive,0.74667,0.10054,0.75159,0.02907,0.07875,0.88698,0.96405
solver=sgd,0.74667,0.10054,0.75159,0.02907,0.07875,0.66166,0.96405
lr=0.001_policy=constant,0.71714,0.09907,0.73360,0.03201,0.07398,0.21831,0.96405
lr=0.01_policy=invscaling,0.73429,0.09956,0.72803,0.02519,0.06236,0.27782,0.96405
lr=0.0001_policy=adaptive,0.54571,0.09769,0.54383,0.07645,0.02527,0.59962,0.80392
lr=0.001_policy=invscaling,0.52000,0.10547,0.51431,0.08532,0.00830,0.15862,0.74837
lr=0.0001_policy=constant,0.50952,0.09705,0.50450,0.08878,0.01374,0.23645,0.74183
lr=0.0001_policy=invscaling,0.48000,0.10495,0.48156,0.09637,0.00034,0.13938,0.74183
